question,entities_for_tables,entities_for_columns,query,tables,entities
List the name of tracks belongs to genre Rock and whose media type is MPEG audio file.,['tracks'],"['name', 'genre', 'media type']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id JOIN media_types AS T3 ON T3.id = T2.media_type_id WHERE T1.name = ""Rock"" AND T3.name = ""MPEG audio file"";","['media_types', 'tracks', 'genres']","['tracks', 'name', 'genre', 'media type']"
What are the names of all Rock tracks that are stored on MPEG audio files?,['tracks'],"['Rock', 'MPEG', 'names']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id JOIN media_types AS T3 ON T3.id = T2.media_type_id WHERE T1.name = ""Rock"" AND T3.name = ""MPEG audio file"";","['media_types', 'tracks', 'genres']","['tracks', 'Rock', 'MPEG', 'names']"
List the name of tracks belongs to genre Rock or media type is MPEG audio file.,['tracks'],"['name', 'genre', 'media type']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id JOIN media_types AS T3 ON T3.id = T2.media_type_id WHERE T1.name = ""Rock"" OR T3.name = ""MPEG audio file"";","['media_types', 'tracks', 'genres']","['tracks', 'name', 'genre', 'media type']"
What are the names of all tracks that belong to the Rock genre and whose media type is MPEG?,['tracks'],"['names', 'genre', 'media type']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id JOIN media_types AS T3 ON T3.id = T2.media_type_id WHERE T1.name = ""Rock"" OR T3.name = ""MPEG audio file"";","['media_types', 'tracks', 'genres']","['tracks', 'names', 'genre', 'media type']"
List the name of tracks belongs to genre Rock or genre Jazz.,['tracks'],"['name', 'genre']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.name = ""Rock"" OR T1.name = ""Jazz""","['tracks', 'genres']","['tracks', 'name', 'genre']"
What are the names of the tracks that are Rock or Jazz songs?,['tracks'],"['names', 'Rock', 'Jazz']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.name = ""Rock"" OR T1.name = ""Jazz""","['tracks', 'genres']","['tracks', 'names', 'Rock', 'Jazz']"
List the name of all tracks in the playlists of Movies.,"['tracks', 'playlists']","['name', 'Movies']","SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id = T2.track_id JOIN playlists AS T3 ON T3.id = T2.playlist_id WHERE T3.name = ""Movies"";","['playlists', 'tracks', 'playlist_tracks']","['tracks', 'playlists', 'name', 'Movies']"
What are the names of all tracks that are on playlists titled Movies?,"['tracks', 'playlists']","['names', 'titled']","SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id = T2.track_id JOIN playlists AS T3 ON T3.id = T2.playlist_id WHERE T3.name = ""Movies"";","['playlists', 'tracks', 'playlist_tracks']","['tracks', 'playlists', 'names', 'titled']"
List the name of playlist which has number of tracks greater than 100.,['playlist'],"['name', 'tracks']",SELECT T2.name FROM playlist_tracks AS T1 JOIN playlists AS T2 ON T2.id = T1.playlist_id GROUP BY T1.playlist_id HAVING count(T1.track_id)  >  100;,"['playlists', 'playlist_tracks']","['playlist', 'name', 'tracks']"
What are the names of all playlists that have more than 100 tracks?,"['playlists', 'tracks']","['names', 'count']",SELECT T2.name FROM playlist_tracks AS T1 JOIN playlists AS T2 ON T2.id = T1.playlist_id GROUP BY T1.playlist_id HAVING count(T1.track_id)  >  100;,"['playlists', 'playlist_tracks']","['playlists', 'tracks', 'names', 'count']"
List all tracks bought by customer Daan Peeters.,"['tracks', 'customers']","['customer', 'Daan Peeters']","SELECT T1.name FROM tracks AS T1 JOIN invoice_lines AS T2 ON T1.id = T2.track_id JOIN invoices AS T3 ON T3.id = T2.invoice_id JOIN customers AS T4 ON T4.id = T3.customer_id WHERE T4.first_name = ""Daan"" AND T4.last_name = ""Peeters"";","['invoice_lines', 'customers', 'tracks', 'invoices']","['tracks', 'customers', 'customer', 'Daan Peeters']"
What are the tracks that Dean Peeters bought?,['tracks'],['Dean Peeters'],"SELECT T1.name FROM tracks AS T1 JOIN invoice_lines AS T2 ON T1.id = T2.track_id JOIN invoices AS T3 ON T3.id = T2.invoice_id JOIN customers AS T4 ON T4.id = T3.customer_id WHERE T4.first_name = ""Daan"" AND T4.last_name = ""Peeters"";","['invoice_lines', 'customers', 'tracks', 'invoices']","['tracks', 'Dean Peeters']"
How much is the track Fast As a Shark?,['track'],"['Fast As a Shark', 'price']","SELECT unit_price FROM tracks WHERE name = ""Fast As a Shark"";",['tracks'],"['track', 'Fast As a Shark', 'price']"
"What is the unit price of the tune ""Fast As a Shark""?","['tune', 'song']","['unit price', 'title']","SELECT unit_price FROM tracks WHERE name = ""Fast As a Shark"";",['tracks'],"['tune', 'song', 'unit price', 'title']"
Find the name of tracks which are in Movies playlist but not in music playlist.,"['tracks', 'playlist']",['name'],SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' EXCEPT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',"['playlists', 'tracks', 'playlist_tracks']","['tracks', 'playlist', 'name']"
What are the names of all tracks that are on the Movies playlist but not in the music playlist?,"['tracks', 'playlist']","['names', 'Movies', 'music']",SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' EXCEPT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',"['playlists', 'tracks', 'playlist_tracks']","['tracks', 'playlist', 'names', 'Movies', 'music']"
Find the name of tracks which are in both Movies and music playlists.,"['tracks', 'playlists']",['name'],SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' INTERSECT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',"['playlists', 'tracks', 'playlist_tracks']","['tracks', 'playlists', 'name']"
What are the names of all the tracks that are in both the Movies and music playlists?,"['tracks', 'playlists']","['names', 'Movies', 'music']",SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' INTERSECT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',"['playlists', 'tracks', 'playlist_tracks']","['tracks', 'playlists', 'names', 'Movies', 'music']"
Find number of tracks in each genre?,"['tracks', 'genre']","['number', 'genre']","SELECT count(*) ,  T1.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id GROUP BY T1.name;","['tracks', 'genres']","['tracks', 'genre', 'number', 'genre']"
How many tracks are in each genre?,"['tracks', 'genre']",['count'],"SELECT count(*) ,  T1.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id GROUP BY T1.name;","['tracks', 'genres']","['tracks', 'genre', 'count']"
How many editors are there?,['editors'],['count'],SELECT count(*) FROM editor,['editor'],"['editors', 'count']"
List the names of editors in ascending order of age.,['editors'],"['names', 'age']",SELECT Name FROM editor ORDER BY Age ASC,['editor'],"['editors', 'names', 'age']"
What are the names and ages of editors?,['editors'],"['names', 'ages']","SELECT Name ,  Age FROM editor",['editor'],"['editors', 'names', 'ages']"
List the names of editors who are older than 25.,['editors'],"['names', 'age']",SELECT Name FROM editor WHERE Age  >  25,['editor'],"['editors', 'names', 'age']"
Show the names of editors of age either 24 or 25.,['editors'],"['names', 'age']",SELECT Name FROM editor WHERE Age  =  24 OR Age  =  25,['editor'],"['editors', 'names', 'age']"
What is the name of the youngest editor?,['editor'],"['name', 'youngest']",SELECT Name FROM editor ORDER BY Age ASC LIMIT 1,['editor'],"['editor', 'name', 'youngest']"
What are the different ages of editors? Show each age along with the number of editors of that age.,['editors'],"['ages', 'number of editors']","SELECT Age ,  COUNT(*) FROM editor GROUP BY Age",['editor'],"['editors', 'ages', 'number of editors']"
Please show the most common age of editors.,['editors'],['age'],SELECT Age FROM editor GROUP BY Age ORDER BY COUNT(*) DESC LIMIT 1,['editor'],"['editors', 'age']"
Show the distinct themes of journals.,['journals'],['themes'],SELECT DISTINCT Theme FROM journal,['journal'],"['journals', 'themes']"
Show the names of editors and the theme of journals for which they serve on committees.,"['editors', 'journals', 'committees']","['names', 'theme']","SELECT T2.Name ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID","['journal_committee', 'editor', 'journal']","['editors', 'journals', 'committees', 'names', 'theme']"
"For each journal_committee, find the editor name and the journal theme.",['journal_committee'],"['editor name', 'journal theme']","SELECT T2.Name ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID","['journal_committee', 'editor', 'journal']","['journal_committee', 'editor name', 'journal theme']"
"Show the names and ages of editors and the theme of journals for which they serve on committees, in ascending alphabetical order of theme.","['editors', 'journals', 'committees']","['names', 'ages', 'theme']","SELECT T2.Name ,  T2.age ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID ORDER BY T3.Theme ASC","['journal_committee', 'editor', 'journal']","['editors', 'journals', 'committees', 'names', 'ages', 'theme']"
Show the names of editors that are on the committee of journals with sales bigger than 3000.,"['editors', 'journals']","['names', 'committee', 'sales']",SELECT T2.Name FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID WHERE T3.Sales  >  3000,"['journal_committee', 'editor', 'journal']","['editors', 'journals', 'names', 'committee', 'sales']"
"Show the id, name of each editor and the number of journal committees they are on.","['editor', 'journal committees']","['id', 'name', 'number of journal committees']","SELECT T1.editor_id ,  T1.Name ,  COUNT(*) FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID  =  T2.Editor_ID GROUP BY T1.editor_id","['journal_committee', 'editor']","['editor', 'journal committees', 'id', 'name', 'number of journal committees']"
Show the names of editors that are on at least two journal committees.,"['editors', 'journal committees']",['names'],SELECT T1.Name FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID  =  T2.Editor_ID GROUP BY T1.Name HAVING COUNT(*)  >=  2,"['journal_committee', 'editor']","['editors', 'journal committees', 'names']"
List the names of editors that are not on any journal committee.,"['editors', 'journal committee']",['names'],SELECT Name FROM editor WHERE editor_id NOT IN (SELECT editor_id FROM journal_committee),"['journal_committee', 'editor']","['editors', 'journal committee', 'names']"
"List the date, theme and sales of the journal which did not have any of the listed editors serving on committee.",['journal'],"['date', 'theme', 'sales', 'editors', 'committee']","SELECT date ,  theme ,  sales FROM journal EXCEPT SELECT T1.date ,  T1.theme ,  T1.sales FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID  =  T2.journal_ID","['journal_committee', 'journal']","['journal', 'date', 'theme', 'sales', 'editors', 'committee']"
What is the average sales of the journals that have an editor whose work type is 'Photo'?,"['journals', 'editor']","['sales', 'work type', 'Photo']",SELECT avg(T1.sales) FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID  =  T2.journal_ID WHERE T2.work_type  =  'Photo',"['journal_committee', 'journal']","['journals', 'editor', 'sales', 'work type', 'Photo']"
How many accounts do we have?,['accounts'],['count'],SELECT count(*) FROM Accounts,['Accounts'],"['accounts', 'count']"
Count the number of accounts.,['accounts'],['number'],SELECT count(*) FROM Accounts,['Accounts'],"['accounts', 'number']"
"Show ids, customer ids, names for all accounts.",['accounts'],"['ids', 'customer ids', 'names']","SELECT account_id ,  customer_id ,  account_name FROM Accounts",['Accounts'],"['accounts', 'ids', 'customer ids', 'names']"
"What are the account ids, customer ids, and account names for all the accounts?",['accounts'],"['account ids', 'customer ids', 'account names']","SELECT account_id ,  customer_id ,  account_name FROM Accounts",['Accounts'],"['accounts', 'account ids', 'customer ids', 'account names']"
Show other account details for account with name 338.,['account'],"['name', 'account details']","SELECT other_account_details FROM Accounts WHERE account_name  =  ""338""",['Accounts'],"['account', 'name', 'account details']"
What are the other account details for the account with the name 338?,['account'],"['name', 'account details']","SELECT other_account_details FROM Accounts WHERE account_name  =  ""338""",['Accounts'],"['account', 'name', 'account details']"
"What is the first name, last name, and phone of the customer with account name 162?","['customer', 'account']","['first name', 'last name', 'phone', 'account name']","SELECT T2.customer_first_name ,  T2.customer_last_name ,  T2.customer_phone FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.account_name  =  ""162""","['Customers', 'Accounts']","['customer', 'account', 'first name', 'last name', 'phone', 'account name']"
Give the full name and phone of the customer who has the account name 162.,"['customer', 'account']","['full name', 'phone', 'account name']","SELECT T2.customer_first_name ,  T2.customer_last_name ,  T2.customer_phone FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.account_name  =  ""162""","['Customers', 'Accounts']","['customer', 'account', 'full name', 'phone', 'account name']"
